nombre,tipo,barrio,fecha_fin_inicial
"Parque Olí­mpico: Instalación de red de agua potable, incendio cloacal, pluvial y red de gas.",Hidráulica e Infraestructura,VILLA SOLDATI,2018-04-16
Parque Olí­mpico: Infraestructura eléctrica.,Hidráulica e Infraestructura,VILLA SOLDATI,2018-05-30
Ramal Austria I,Hidráulica e Infraestructura,RECOLETA,2018-01-30
Ramal Caaguazú -Ampliación Red Pluvial VII,Hidráulica e Infraestructura,LINIERS,2018-04-30
Ramal Escalada -Ampliación Red Pluvial VI,Hidráulica e Infraestructura,VILLA RIACHUELO,2017-12-10
Red Pluvial IV: Ampliación,Hidráulica e Infraestructura,COGHLAN,2016-10-31
Arroyo Vega - Mejora de la Eficiencia Hidraulica,Hidráulica e Infraestructura,BELGRANO,2016-09-30
Camino De Sirga II,Hidráulica e Infraestructura,BARRACAS,2017-05-31
Estación de Bombeo Nş5,Hidráulica e Infraestructura,BARRACAS,2017-06-15
Camino De Sirga III,Hidráulica e Infraestructura,BARRACAS,2021-01-29
Barrio Papa Francisco: Infraestructura 1,Hidráulica e Infraestructura,VILLA LUGANO,2018-07-31
Barrio Papa Francisco: Infraestructura 2,Hidráulica e Infraestructura,VILLA LUGANO,2018-11-30
Barrio Los Piletones: Abastecimiento De Agua Potable Manzanas 9 Y 10 - Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-05-16
Barrio Los Piletones: Nexo Conexión De Red De Agua Potable ( Lacarra) Barrio Los Piletones,Hidráulica E Infraestructura,VILLA SOLDATI,2017-03-16
Barrio Rivera Iguazú: Ribera Iguazú,Hidráulica e Infraestructura,NUEVA POMPEYA,2018-10-29
Acumar: Alvarado - Infraestructura,Hidráulica e Infraestructura,BARRACAS,2020-03-31
"Distrito Tecnológico: Retiro De Sistema De Almacenamiento Subterráneo De Hidrocarburos (Sash), Tanques, Cańerí­as Y Acceso A Predio Usal",Hidráulica E Infraestructura,PARQUE PATRICIOS,2015-08-09
Barrio Fraga: Demoliciones,Hidráulica e Infraestructura,CHACARITA,2018-01-15
